Name,Country,Market Value
Japan Airlines,Japan,10.6
Credicorp,Peru,12.731
UPM-Kymmene,Finland,12.744
Guangdong Wens Foodstuffs Group,China,20.929
Toyota Tsusho,Japan,10.578
Wipro,India,19.373
Hilton,United States,18.663
Daqin Railway,China,16.615
Lennar,United States,11.884
Ferrovial,Spain,14.886
Anadarko Petroleum,United States,34.88
Scentre Group,Australia,17.55
AutoZone,United States,19.897
Agrium,Canada,12.982
Vestas Wind Systems,Denmark,17.47
China Resources Power,Hong Kong,8.791
Freeport-mcmoran,United States,18.206
Samba Financial Group,Saudi Arabia,11.252
ROSSETI,Russia,3.347
Schaeffler,Germany,11.059
GD Power Development,China,9.457
Adecco,Switzerland,11.769
Discovery Communications,United States,16.837
Canadian Natural Resources,Canada,37.099
Ryanair Holdings,Ireland,19.57
Huntington Bancshares,United States,14.303
Hong Kong Exchanges,Hong Kong,30.868
Carlsberg,Denmark,14.112
Porsche Automobil Holding,Germany,16.129
Kone,Finland,23.669
CarMax,United States,10.54
Ita̼sa,Brazil,22.961
Sime Darby,Malaysia,14.292
Wolseley,Switzerland,15.508
Air France-KLM,France,2.193
Willis Towers Watson,United Kingdom,17.41
Welltower,United States,26.245
ITC,India,51.595
KT Corp,South Korea,7.058
OMV Group,Austria,13.617
Sumitomo Chemical,Japan,8.782
Emaar Properties,United Arab Emirates,14.561
VEON,Netherlands,6.751
Eiffage,France,7.318
Bangkok Bank,Thailand,10.097
Metro Group,Germany,10.115
CSL,Australia,43.865
Hindustan Petroleum,India,8.461
DR Horton,United States,12.367
Leonardo,Italy,8.308
Shenwan Hongyuan Group,China,18.258
LG Electronics,South Korea,10.221
Kuehne + Nagel,Switzerland,16.891
FirstEnergy,United States,13.897
Magnit,Russia,15.614
S&P Global,United States,33.626
Chongqing Rural Bank,Hong Kong,6.487
Toshiba,Japan,8.259
General Growth Properties,United States,20.372
JFE Holdings,Japan,9.421
Netease,China,36.76
LabCorp,United States,14.687
ATOS,France,12.802
Fanuc,Japan,39.632
SM Investments,Philippines,17.75
Hyundai Steel,South Korea,6.651
Eastman Chemical,United States,11.716
O'Reilly Automotive,United States,23.204
L Brands,United States,13.452
First Republic Bank,United States,14.19
S-Oil,South Korea,9.862
EOG Resources,United States,56.192
Secom,Japan,16.722
LG Corp,South Korea,10.737
Abu Dhabi Commercial Bank,United Arab Emirates,9.765
Herm̬s International,France,50.28
Link REIT,Hong Kong,15.978
TD Ameritrade Holding,United States,20.274
Sanlam,South Africa,9.459
Daiichi Sankyo,Japan,15.466
Norsk Hydro,Norway,11.854
Williams,United States,25.064
Guangzhou Automobile Group,China,19.217
American Financial Group,United States,8.203
NXP Semiconductors,Netherlands,36.175
China National Nuclear Power,China,16.967
Athene Holding,Bermuda,9.842
Woodside Petroleum,Australia,20.858
Boston Scientific,United States,33.745
Raiffeisen Bank International,Austria,7.333
AMP,Australia,11.402
Formosa Plastics,Taiwan,19.021
China Steel,Taiwan,12.819
Bank of Ireland,Ireland,8.418
China Gezhouba,China,8.464
B̢loise Group,Switzerland,6.337
Rakuten,Japan,15.207
Ameren,United States,13.228
Symantec,United States,19.066
Yara International,Norway,10.717
Assa Abloy,Sweden,22.641
Shengjing Bank,China,5.245
Aena,Spain,24.302
Mega Financial Holding,Taiwan,10.636
Shanghai International Port,China,20.155
Tokyo Gas,Japan,10.144
Mohawk Industries,United States,16.967
Ooredoo Telecom,Qatar,9.107
China Galaxy Securities,China,16.137
Unipol Gruppo,Italy,2.864
Quanta Computer,Taiwan,7.867
Lam Research,United States,21.056
China Merchants Securities,China,15.146
Bank of Jinzhou,China,7.855
Entergy,United States,13.683
Canadian Pacific Railway,Canada,22.034
JM Smucker,United States,15.066
NEC,Japan,6.196
Kingfisher,United Kingdom,8.96
Lear,United States,9.23
Taisei,Japan,8.41
Kajima,Japan,6.882
Sandvik,Sweden,18.511
DP World,United Arab Emirates,17.986
Pegatron,Taiwan,7.509
Power Grid of India,India,15.907
Obayashi,Japan,6.744
Zimmer Biomet,United States,24.123
Devon Energy,United States,22.316
Hormel Foods,United States,18.115
Julius Baer Group,Switzerland,11.127
S.f. Holding,China,34.367
